5/13/2016  	    17535.32
5/16/2016  	    17710.71
5/17/2016  	    17529.98
5/18/2016  	    17526.62
5/19/2016  	    17435.4
5/20/2016  	    17500.94
5/23/2016  	    17492.93
5/24/2016  	    17706.05
5/25/2016  	    17851.51
5/26/2016  	    17828.29
5/27/2016  	    17873.22
5/31/2016  	    17787.2
6/1/2016  	    17789.67
6/2/2016  	    17838.56
6/3/2016  	    17807.06
6/6/2016  	    17920.33
6/7/2016  	    17938.28
6/8/2016  	    18005.05
6/9/2016  	    17985.19
6/10/2016  	    17865.34
6/13/2016  	    17732.48
6/14/2016  	    17674.82
6/15/2016  	    17640.17
6/16/2016  	    17733.1
6/17/2016  	    17675.16
6/20/2016  	    17804.87
6/21/2016  	    17829.73
6/22/2016  	    17780.83
6/23/2016  	    18011.07
6/24/2016  	    17400.75
6/27/2016  	    17140.24
6/28/2016  	    17409.72
6/29/2016  	    17694.68
6/30/2016  	    17929.99
7/1/2016  	    17949.37
7/5/2016  	    17840.62
7/6/2016  	    17918.62
7/7/2016  	    17895.88
7/8/2016  	    18146.74
7/11/2016  	    18226.93
7/12/2016  	    18347.67
7/13/2016  	    18372.12
7/14/2016  	    18506.41
7/15/2016  	    18516.55
7/18/2016  	    18533.05
7/19/2016  	    18559.01
7/20/2016  	    18595.03
7/21/2016  	    18517.23
7/22/2016  	    18570.85
7/25/2016  	    18493.06
7/26/2016  	    18473.75
7/27/2016  	    18472.17
7/28/2016  	    18456.35
7/29/2016  	    18432.24
8/1/2016  	    18404.51
8/2/2016  	    18313.77
8/3/2016  	    18355
8/4/2016  	    18352.05
8/5/2016  	    18543.53
8/8/2016  	    18529.29
8/9/2016  	    18533.05
8/10/2016  	    18495.66
8/11/2016  	    18613.52
8/12/2016  	    18576.47
8/15/2016  	    18636.05
8/16/2016  	    18552.02
8/17/2016  	    18573.94
8/18/2016  	    18597.7
8/19/2016  	    18552.57
8/22/2016  	    18529.42
8/23/2016  	    18547.3
8/24/2016  	    18481.48
8/25/2016  	    18448.41
8/26/2016  	    18395.4
8/29/2016  	    18502.99
8/30/2016  	    18454.3
8/31/2016  	    18400.88
9/1/2016  	    18419.3
9/2/2016  	    18491.96
9/6/2016  	    18538.12
9/7/2016  	    18526.14
9/8/2016  	    18479.91
9/9/2016  	    18085.45
9/12/2016  	    18325.07
9/13/2016  	    18066.75
9/14/2016  	    18034.77
9/15/2016  	    18212.48
9/16/2016  	    18123.8
9/19/2016  	    18120.17
9/20/2016  	    18129.96
9/21/2016  	    18293.7
9/22/2016  	    18392.46
9/23/2016  	    18261.45
9/26/2016  	    18094.83
9/27/2016  	    18228.3
9/28/2016  	    18339.24
9/29/2016  	    18143.45
9/30/2016  	    18308.15
10/3/2016  	    18253.85
10/4/2016  	    18168.45
10/5/2016  	    18281.03
10/6/2016  	    18268.5
10/7/2016  	    18240.49
10/10/2016  	 18329.04
10/11/2016  	 18128.66
10/12/2016  	 18144.2
10/13/2016  	 18098.94
10/14/2016  	 18138.38
10/17/2016  	 18086.4
